Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"307123911846",Lenovo ThinkPad T14 Gen 1 Ryzen 5 PRO 4650U 16 GB 256 GB SSD 14 Zoll Win11 Pro,,3888_20250724125241,"29","FIXED_PRICE","EUR",244.0,,,244.0,"3","16","0","Aug-13-26 00:00:15 PDT","Oct-13-26 00:00:15 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307124457460","Dell Latitude 5540 i5-1345U 16 GB 256 GB SSD 15,6 Zoll Win11 Pro",,4870_20260403112433,"10","FIXED_PRICE","EUR",570.0,,,570.0,"0","","","Aug-13-26 05:36:51 PDT","Oct-13-26 05:36:51 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261903",HP ProBook 640 G2 i5-6200U 8 GB 120 GB SSD 14 Zoll Win11 Pro,,18857183867,"0","FIXED_PRICE","EUR",119.0,,,119.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261906",HP EliteBook 840 G6 i5-8365U 16 GB 500 GB SSD 14 Zoll Win11 Pro,,18589762579,"10","FIXED_PRICE","EUR",308.0,,,308.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261907",HP EliteBook 840 G6 i5-8365U 32 GB 1000 GB SSD 14 Zoll Win11 Pro,,18589765205,"10","FIXED_PRICE","EUR",467.0,,,467.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261909","Fujitsu Lifebook E5510 i7-10510U 16 GB 256 GB SSD 15,6 Zoll Win11 Pro",,5563_20260819142954,"10","FIXED_PRICE","EUR",320.0,,,320.0,"0","1","0","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261910","Fujitsu Lifebook E5510 i7-10510U 8 GB 256 GB SSD 15,6 Zoll Win11 Pro",,5563_20260819094242,"10","FIXED_PRICE","EUR",295.0,,,295.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261915","Panasonic ToughBook CF-31 MK3 i5-3340M 16 GB 120 GB SSD 13,3 Zoll Win10 Pro",,10365,"0","FIXED_PRICE","EUR",231.0,,,231.0,"0","4","0","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261917",HP EliteBook 840 G6 i5-8365U 16 GB 256 GB SSD 14 Zoll Win11 Pro,,18589771410,"10","FIXED_PRICE","EUR",250.0,,,250.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261919",HP EliteBook 840 G6 i5-8365U 16 GB 256 GB SSD 14 Zoll Win11 Pro,,18726194238,"10","FIXED_PRICE","EUR",272.0,,,272.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261920",HP EliteBook 840 G6 i5-8365U 32 GB 2000 GB SSD 14 Zoll Win11 Pro,,18589774290,"10","FIXED_PRICE","EUR",524.0,,,524.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261922",HP EliteBook 840 G6 i5-8365U 16 GB 1000 GB SSD 14 Zoll Win11 Pro,,18726200007,"10","FIXED_PRICE","EUR",389.0,,,389.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261923",HP EliteBook 840 G6 i5-8365U 32 GB 2000 GB SSD 14 Zoll Win11 Pro,,18726210487,"10","FIXED_PRICE","EUR",547.0,,,547.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261928",HP EliteBook 840 G6 i5-8365U 8 GB 256 GB SSD 14 Zoll Win11 Pro,,16974667118,"10","FIXED_PRICE","EUR",229.0,,,229.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261929",HP EliteBook 840 G6 i5-8365U 8 GB 256 GB SSD 14 Zoll Win11 Pro,,18589767879,"10","FIXED_PRICE","EUR",206.0,,,206.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261933","HP EliteBook 850 G6 i7-8650U 8 GB 960 GB SSD 15,6 Zoll Win10 Pro",,17376915232,"10","FIXED_PRICE","EUR",401.0,,,401.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261934","HP EliteBook 850 G6 i7-8650U 16 GB 960 GB SSD 15,6 Zoll Win10 Pro",,17376887104,"10","FIXED_PRICE","EUR",444.0,,,444.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261935","HP EliteBook 850 G6 i7-8650U 8 GB 256 GB SSD 15,6 Zoll Win10 Pro",,16639542933,"10","FIXED_PRICE","EUR",285.0,,,285.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261936","HP EliteBook 850 G6 i7-8650U 32 GB 960 GB SSD 15,6 Zoll Win10 Pro",,17376890404,"10","FIXED_PRICE","EUR",524.0,,,524.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261938","HP EliteBook 850 G6 i7-8650U 32 GB 480 GB SSD 15,6 Zoll Win10 Pro",,17376895871,"10","FIXED_PRICE","EUR",444.0,,,444.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
